OrderID,Date,Product,Category,Price,Quantity,TotalPrice,CustomerID,Country
2001,2023-10-27,"Laptop","Electronics",1250.50,1,1250.50,"CUST001","USA"
2002,2023-05-12,"Smartphone","Electronics",899.99,2,1799.98,"CUST002","Canada"
2003,2024-01-03,"T-Shirt","Apparel",25.00,5,125.00,"CUST003","UK"
2004,2023-11-20,"Jeans","Apparel",75.50,2,151.00,"CUST004","Germany"
2005,2023-08-15,"Headphones","Electronics",199.99,1,199.99,"CUST005","France"
2006,2024-04-22,"Keyboard","Electronics",99.00,3,297.00,"CUST006","Japan"
2007,2023-06-30,"Mouse","Electronics",49.95,4,199.80,"CUST007","Australia"
2008,2023-12-01,"Monitor","Electronics",350.00,2,700.00,"CUST008","USA"
2009,2024-02-18,"Jacket","Apparel",150.00,1,150.00,"CUST009","Canada"
2010,2023-09-05,"Shoes","Footwear",120.00,1,120.00,"CUST010","Mexico"
2011,2023-07-14,"Laptop","Electronics",1300.00,1,1300.00,"CUST011","UK"
2012,2024-03-25,"Smartphone","Electronics",950.50,1,950.50,"CUST012","Germany"
2013,2023-04-19,"T-Shirt","Apparel",22.99,10,229.90,"CUST013","France"
2014,2023-10-02,"Jeans","Apparel",80.00,3,240.00,"CUST014","Japan"
2015,2024-05-01,"Headphones","Electronics",210.00,1,210.00,"CUST015","Australia"
2016,2023-01-28,"Keyboard","Electronics",110.75,2,221.50,"CUST016","USA"
2017,2023-08-08,"Mouse","Electronics",55.00,5,275.00,"CUST017","Canada"
2018,2024-04-01,"Monitor","Electronics",375.00,1,375.00,"CUST018","Mexico"
2019,2023-11-11,"Jacket","Apparel",165.50,1,165.50,"CUST019","UK"
2020,2023-02-09,"Shoes","Footwear",135.00,2,270.00,"CUST020","Germany"
2021,2023-09-23,"Laptop","Electronics",1450.00,1,1450.00,"CUST021","France"
2022,2024-01-15,"Smartphone","Electronics",999.00,1,999.00,"CUST022","Japan"
2023,2023-07-07,"T-Shirt","Apparel",30.00,8,240.00,"CUST023","Australia"
2024,2023-12-25,"Jeans","Apparel",69.99,1,69.99,"CUST024","USA"
2025,2024-03-03,"Headphones","Electronics",180.00,2,360.00,"CUST025","Canada"
2026,2023-05-20,"Keyboard","Electronics",90.00,1,90.00,"CUST026","Mexico"
2027,2023-10-18,"Mouse","Electronics",45.50,3,136.50,"CUST027","UK"
2028,2024-02-05,"Monitor","Electronics",400.00,2,800.00,"CUST028","Germany"
2029,2023-06-11,"Jacket","Apparel",140.00,1,140.00,"CUST029","France"
2030,2023-11-29,"Shoes","Footwear",110.00,1,110.00,"CUST030","Japan"
2031,2024-04-10,"Laptop","Electronics",1100.00,1,1100.00,"CUST031","Australia"
2032,2023-01-01,"Smartphone","Electronics",850.00,1,850.00,"CUST032","USA"
2033,2023-08-29,"T-Shirt","Apparel",28.50,4,114.00,"CUST033","Canada"
2034,2024-01-20,"Jeans","Apparel",85.00,2,170.00,"CUST034","Mexico"
2035,2023-07-24,"Headphones","Electronics",225.00,1,225.00,"CUST035","UK"
